count,order,family,genus,level,genus_species,ID,in_refdb
48289,Clupeiformes,Clupeidae,Clupea,SPECIES,Clupea harengus,8351946,MATCH
47390,Gadiformes,Gadidae,Gadus,SPECIES,Gadus morhua,8084280,MATCH
47329,Squaliformes,Squalidae,Squalus,SPECIES,Squalus acanthias,5216368,MATCH
37069,Scorpaeniformes,Cottidae,Myoxocephalus,SPECIES,Myoxocephalus octodecemspinosus,2333802,MATCH
36334,Rajiformes,Rajidae,Leucoraja,SPECIES,Leucoraja ocellata,2419886,MATCH
33649,Pleuronectiformes,Pleuronectidae,Limanda,SPECIES,Limanda ferruginea,5213953,NO MATCH
9165,Perciformes,Zoarcidae,Zoarces,SPECIES,Zoarces americanus,2380998,MATCH
9138,Pleuronectiformes,Pleuronectidae,Glyptocephalus,SPECIES,Glyptocephalus cynoglossus,5213996,MATCH
8453,Scorpaeniformes,Sebastidae,Helicolenus,SPECIES,Helicolenus dactylopterus,4286361,MATCH
6622,Rajiformes,Rajidae,Amblyraja,SPECIES,Amblyraja radiata,2420446,MATCH
4998,Pleuronectiformes,Paralichthyidae,Hippoglossina,SPECIES,Hippoglossina oblonga,2408805,MATCH
4716,Osmeriformes,Argentinidae,Argentina,SPECIES,Argentina silus,5214450,MATCH
4321,Rajiformes,Rajidae,Malacoraja,SPECIES,Malacoraja senta,2419827,NO MATCH
3582,Scorpaeniformes,Cottidae,Triglops,SPECIES,Triglops murrayi,2334048,MATCH
3077,Pleuronectiformes,Pleuronectidae,Hippoglossus,SPECIES,Hippoglossus hippoglossus,2409218,MATCH
3007,Perciformes,Anarhichadidae,Anarhichas,SPECIES,Anarhichas lupus,8006460,MATCH
830,Neogastropoda,Muricidae,Nucella,SPECIES,Nucella lapillus,5193449,NO MATCH
755,Perciformes,Centrarchidae,Lepomis,SPECIES,Lepomis gibbosus,2394486,MATCH
700,Pleuronectiformes,Paralichthyidae,Paralichthys,SPECIES,Paralichthys dentatus,2408866,MATCH
677,Perciformes,Moronidae,Morone,SPECIES,Morone saxatilis,2394612,MATCH
632,Cyprinodontiformes,Fundulidae,Fundulus,SPECIES,Fundulus heteroclitus,5712056,MATCH
622,Gadiformes,Macrouridae,Nezumia,SPECIES,Nezumia bairdii,2416930,MATCH
603,Anguilliformes,Anguillidae,Anguilla,SPECIES,Anguilla rostrata,5212956,MATCH
559,Gadiformes,Lotidae,Enchelyopus,SPECIES,Enchelyopus cimbrius,5214892,MATCH
524,Scorpaeniformes,Cottidae,Myoxocephalus,SPECIES,Myoxocephalus aenaeus,2333799,MATCH
512,Carcharhiniformes,Triakidae,Mustelus,SPECIES,Mustelus canis,2418312,MATCH
478,Scorpaeniformes,Cottidae,Artediellus,SPECIES,Artediellus atlanticus,2334289,MATCH
464,Clupeiformes,Clupeidae,Alosa,SPECIES,Alosa aestivalis,2412708,MATCH
464,Perciformes,Serranidae,Centropristis,SPECIES,Centropristis striata,2387483,MATCH
457,Perciformes,Centrarchidae,Lepomis,SPECIES,Lepomis auritus,2394491,MATCH
440,Perciformes,Percidae,Perca,SPECIES,Perca flavescens,2382004,MATCH
399,Stomiiformes,Sternoptychidae,Maurolicus,SPECIES,Maurolicus muelleri,2347501,MATCH
397,Esociformes,Esocidae,Esox,SPECIES,Esox niger,2346629,MATCH
390,Neogastropoda,Muricidae,Urosalpinx,SPECIES,Urosalpinx cinerea,2304415,NO MATCH
389,Atheriniformes,Atherinopsidae,Menidia,SPECIES,Menidia menidia,2412304,MATCH
375,Scorpaeniformes,Cyclopteridae,Cyclopterus,SPECIES,Cyclopterus lumpus,5962255,MATCH
363,Perciformes,Moronidae,Morone,SPECIES,Morone americana,2394604,MATCH
352,Rajiformes,Rajidae,Leucoraja,SPECIES,Leucoraja erinaceus,2419879,NO MATCH
347,Petromyzontiformes,Petromyzontidae,Petromyzon,SPECIES,Petromyzon marinus,8236498,MATCH
336,Pleuronectiformes,Pleuronectidae,Reinhardtius,SPECIES,Reinhardtius hippoglossoides,2409383,MATCH
329,Perciformes,Stichaeidae,Ulvaria,SPECIES,Ulvaria subbifurcata,5211302,MATCH
326,Scorpaeniformes,Triglidae,Prionotus,SPECIES,Prionotus carolinus,5201557,MATCH
326,Syngnathiformes,Syngnathidae,Syngnathus,SPECIES,Syngnathus fuscus,2332955,MATCH
324,Ophidiiformes,Ophidiidae,Lepophidium,SPECIES,Lepophidium profundorum,2345611,MATCH
324,Perciformes,Labridae,Tautoga,SPECIES,Tautoga onitis,2383615,MATCH
321,Perciformes,Pomatomidae,Pomatomus,SPECIES,Pomatomus saltatrix,5208090,MATCH
319,Tetraodontiformes,Molidae,Mola,SPECIES,Mola mola,5213725,MATCH
314,Cyprinodontiformes,Fundulidae,Fundulus,SPECIES,Fundulus diaphanus,5712054,MATCH
309,Cyprinodontiformes,Fundulidae,Fundulus,SPECIES,Fundulus majalis,5203628,MATCH
307,Perciformes,Centrarchidae,Lepomis,SPECIES,Lepomis cyanellus,2394494,MATCH
94,Cypriniformes,Cyprinidae,Cyprinus,SPECIES,Cyprinus rubrofuscus,2367196,MATCH
94,Myctophiformes,Myctophidae,Hygophum,SPECIES,Hygophum hygomi,5213288,NO MATCH
92,Zeiformes,Zeidae,Zenopsis,SPECIES,Zenopsis ocellata,2415249,NO MATCH
88,Gadiformes,Merlucciidae,Merluccius,SPECIES,Merluccius albidus,2415661,MATCH
87,Stomiiformes,Stomiidae,Chauliodus,SPECIES,Chauliodus sloani,5203203,MATCH
85,Myctophiformes,Myctophidae,Benthosema,SPECIES,Benthosema glaciale,2406057,MATCH
81,Perciformes,Cryptacanthodidae,Cryptacanthodes,SPECIES,Cryptacanthodes maculatus,2387415,MATCH
