Kingdom,Phylum,Class,Order,Family,Genus,Species,in_gbif,gbif_occurances
Eukaryota,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus scovelli,NO MATCH,NA
Eukaryota,Chordata,Chondrichthyes,Lamniformes,Alopiidae,Cetorhinus,Cetorhinus maximus,MATCH,40
Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Notropis,Notropis bifrenatus,MATCH,50
Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,NO MATCH,NA
Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis crassispina,NO MATCH,NA
Eukaryota,Chordata,Actinopteri,Scombriformes,Stromateidae,Peprilus,Peprilus burti,NO MATCH,NA
Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes obscurus,NO MATCH,NA
Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus thynnus,MATCH,30
Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus ogac,NO MATCH,NA
Eukaryota,Chordata,Actinopteri,Scombriformes,Pomatomidae,Pomatomus,Pomatomus saltatrix,MATCH,321
Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes personatus,NO MATCH,NA
Eukaryota,Chordata,Chondrichthyes,Lamniformes,Alopiidae,Isurus,Isurus oxyrinchus,MATCH,9
Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,MATCH,22609
Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,NA,NA,NA
Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,NO MATCH,NA
Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA
Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinella,Sardinella longiceps,NO MATCH,NA
Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossoides,NA,NA,NA
Eukaryota,Chordata,Actinopteri,Perciformes,Stichaeidae,Eumesogrammus,Eumesogrammus praecisus,MATCH,30
Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,NA,NA,NA
Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus similis,NO MATCH,NA
Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio,MATCH,288
