SCIENTIFICNAME,COMMONNAME
alosa pseudoharengus,alewife
aspidophoroides monopterygius,alligatorfish
polymixia lowei,beardfish
peprilus triacanthus,atlantic butterfish
tautogolabrus adspersus,cunner
brosme brosme,cusk
coryphaenoides spp.,grenadiers
melanogrammus aeglefinus,haddock
lophius americanus,monkfish
pollachius virens,pollock
stenotomus chrysops,scup
merlangius merlangus,whiting
hippoglossoides platessoides,american plaice
alosa sapidissima,american shad
anchoa spp.,anchovy silver
myxine glutinosa,atlantic hagfish
scomber scombrus,atlantic mackerel
brevoortia tyrannus,atlantic menhaden
urophycis chuss,red hake
scomberesox saurus,atlantic saury
peprilus paru,atlantic soft pout
eumicrotremus orbis,atlantic spiny lumpsucker
torpedo nobiliana,atlantic torpedo
selar crumenophthalmus,bigeye scad
lophius gastrophysus,blackfin goosefish
zeus faber,buckler dory
limanda limanda,dab
xiphasia setifer,fourline snake blenny
citharichthys macrops,gulfstream flounder
merluccius bilinearis,silver hake
urophycis tenuis,longfin hake
menticirrhus saxatilis,northern kingfish
sphoeroides maculatus,northern puffer
sebastes marinus,ocean perch
stephanolepis hispidus,planehead filefish
pholis gunnellus,rock gunnel
citharichthys platophrys,sand dab
hemitripterus americanus,sea raven
myoxocephalus scorpius,shorthorn sculpin
antigonia capros,shortspine boarfish
ariomma bond,silver rag
nemichthys scolopaceus,slender snipe eel
etropus microstomus,smallmouth flounder
lumpenus lumpretaeformis,snake blenny
urophycis regia,spotted hake
anchoa hepsetus,striped anchovy
prionotus evolans,striped searobin
gasterosteus aculeatus,threespine stickleback
scophthalmus aquosus,windowpane flounder
pseudopleuronectes americanus,winter flounder
cerithiopsis greeniiÊ,gulf seasnail
etrumeus teres,Round herring
maurolicus weitzmani,Weitzmans pearlsides
phycis chesteri,Longfin hake
lycenchelys verrillii,Wolf eelpout
lumpenus lampretaeformis,Snakeblenny
melanostigma atlanticum,Atlantic soft pout
stephanolepis hispida,Planehead filefish
dactylopterus volitans,Flying gurnard
unidentified fish,NA
engraulis eurystole,Silver anchovy
salmo salar,Atlantic salmon
opsanus tau,Oyster toadfish
monolene sessilicauda,Deepwater flounder
simenchelys parasitica,Snubnose eel
alosa mediocris,Hickory shad
centropristis ocyurus,Bank sea bass
mullus auratus,Red goatfish
selene vomer,Lookdown
priacanthus arenatus,Bigeye
ophichthus cruentifer,Margined snake eel
synodus foetens,Inshore lizardfish
ophidion marginatum,Striped cusk-eel
zenopsis conchifera,Buckler dory
arctozenus risso,White barracudina
sarda sarda,Atlantic bonito
hyporhamphus unifasciatus,Silverstripe halfbeak
fistularia tabacaria,Bluespotted cornetfish
sphoeroides pachygaster,Blunthead puffer
upeneus parvus,Dwarf goatfish
prionotus scitulus,Leopard searobin
argentina striata,Striated argentine
acanthostracion polygonius,Honeycomb cowfish
parasudis truculenta,Longnose greeneye
scomber japonicus,Chub mackerel
delphinidae,NA
hoplostethus mediterraneus,Blackmouthed alfonsin
orthopristis chrysoptera,Pigfish
ceratoscopelus maderensis,Horned lanternfish
chlorophthalmus agassizi,Shortnose greeneye
argyropelecus aculeatus,Silver hatchetfish
buccinum undatum,NA
