,Var1,Freq
1,Acanthuriformes,225
2,Acipenseriformes,165
3,Albuliformes,22
4,Alepocephaliformes,90
5,Amiiformes,3
6,Anabantiformes,560
7,Anguilliformes,596
8,Argentiniformes,31
9,Ateleopodiformes,9
10,Atheriniformes,257
11,Aulopiformes,172
12,Batrachoidiformes,30
13,Beloniformes,255
14,Beryciformes,51
15,Blenniiformes,618
16,Caproiformes,12
17,Carangiformes,350
18,Carcharhiniformes,305
19,Centrarchiformes,632
20,Ceratodontiformes,16
21,Chaetodontiformes,300
22,Characiformes,804
23,Chimaeriformes,45
24,Cichliformes,445
25,Clupeiformes,1001
26,Coelacanthiformes,6
27,Cypriniformes,3465
28,Cyprinodontiformes,928
29,Echinorhiniformes,1
30,Elopiformes,29
31,Ephippiformes,30
32,Esociformes,45
33,Euteleosteomorpha,435
34,Gadiformes,559
35,Galaxiiformes,81
36,Gerreiformes,73
37,Gobiiformes,2135
38,Gonorynchiformes,50
39,Gymnotiformes,58
40,Heterodontiformes,5
41,Hexanchiformes,28
42,Hiodontiformes,5
43,Holocentriformes,128
44,Istiophoriformes,354
45,Kurtiformes,309
46,Labriformes,864
47,Lamniformes,54
48,Lampriformes,36
49,Lepidogalaxiiformes,2
50,Lepidosireniformes,4
51,Lobotiformes,26
52,Lophiiformes,151
53,Lutjaniformes,335
54,Mugiliformes,243
55,Myctophiformes,342
56,Myliobatiformes,147
57,Myxiniformes,11
58,NA,809
59,Neogastropoda,1
60,Notacanthiformes,41
61,Ophidiiformes,102
62,Orectolobiformes,24
63,Osmeriformes,146
64,Osteoglossiformes,222
65,Pempheriformes,288
66,Perciformes,2903
67,Percopsiformes,21
68,Petromyzontiformes,73
69,Pleuronectiformes,546
70,Polymixiiformes,21
71,Polypteriformes,64
72,Priacanthiformes,42
73,Pristiformes/Rhiniformes group,41
74,Pristiophoriformes,1
75,Rajiformes,138
76,Rhinopristiformes,24
77,Salmoniformes,436
78,Scombriformes,665
79,Semionotiformes,30
80,Siluriformes,1947
81,Spariformes,239
82,Squaliformes,133
83,Squatiniformes,9
84,Stomiiformes,308
85,Stylephoriformes,4
86,Synbranchiformes,59
87,Syngnathiformes,703
88,Tetraodontiformes,577
89,Torpediniformes,18
90,Trachichthyiformes,32
91,Uranoscopiformes,94
92,Zeiformes,64
